"Month","Year","Amount","Description","Category","Classify","Expense type","","","",""
"02","2025","  2.666.667 ","bãi xe nv","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí","","","",""
"02","2025","  14.738.973 ","điện+nước+wf","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí","","","",""
"02","2025","  24.224.999 ","Cp tiếp khách","6. Chi phí khác","Tiếp khách ngoài","Biến phí","","","",""
"02","2025","  48.418.667 ","tặng phẩm khách","2. Chi phí bán hàng","Tặng phẩm khách","Biến phí","","","",""
"02","2025","  85.000.000 ","MKT chạy quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí","","","",""
"02","2025","  18.293.333 ","Cp sửa chữa, bảo trì","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí","","","",""
"02","2025","","Cộng tác viên","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"02","2025","  7.788.727 ","Thưởng gián tiếp","2. Chi phí bán hàng","Thưởng gián tiếp","Biến phí","","","",""
"02","2025","","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí","","","",""
"02","2025","  8.733.333 ","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí","","","",""
"02","2025","  12.000.000 ","Hoa hồng giới thiệu","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"02","2025","","TikTok","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","",""
"02","2025","","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"02","2025","  523.662.333 ","% của NV","4. Chi phí nhân sự","Thưởng KPI","Biến phí","","","",""
"02","2025","  5.206.193 ","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí","","","",""
"02","2025","  6.142.000 ","Tiếp khách pK(grab, chi phí khác)","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","",""
"02","2025","  442.482.508 ","Lương","4. Chi phí nhân sự","Lương cố định bộ phận văn phòng","Định phí","","","",""
"02","2025","  127.714.660 ","Chi phí MB","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  30.006.613 ","Bảo hiểm","4. Chi phí nhân sự","Bảo hiểm","Định phí","","","",""
"02","2025","  25.000.000 ","Thuê bằng bs+bằng y tá Châu","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  10.666.667 ","chi phí cho quận, phường","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","","thuế","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  6.400.000 ","mua kin","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  3.500.000 ","dây cung","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  5.116.000 ","Khẩu trang + thuốc giảm đau + mua thuốc chống sốc","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  3.600.000 ","dây cung loop Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  9.624.000 ","Thun liên hàm Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  1.918.000 ","nút dán nâng khớp+ lò xo(Teennie)","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  30.830.000 ","công nợ morelli T1/25","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  19.648.000 ","công nợ Thanh Ngọc T1/25","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  17.800.000 ","Vật liệu làm máng","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  814.000 ","sáp nha khoa","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  1.337.000 ","mũi đốt nướu","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  34.800.000 ","khí cụ T1+2","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","","Quỹ thưởng","6. Chi phí khác","Thưởng tổng cuối năm","Định phí","","","",""
"02","2025","","Dự trù phát sinh","6. Chi phí khác","Quỹ dự phòng","Biến phí","","","",""
"02","2025","  11.953.250 ","Mua sắm tài sản","6. Chi phí khác","Mua sắm tài sản","Biến phí","","","",""
"02","2025","  15.596.668 ","Thưởng nóng+liên hoan","4. Chi phí nhân sự","Thưởng nóng, liên hoan","Biến phí","","","",""
"02","2025","  -   ","Giới thiệu nhân sự","6. Chi phí khác","Giới thiệu nhân sự","Biến phí","","","",""
"02","2025","  666.667 ","đào tạo nhân sự","4. Chi phí nhân sự","Đào tạo nhân sự","Biến phí","","","",""
"03","2025","  65.050.019 ","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","",""
"03","2025","  2.338.000 ","bãi xe nv","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí","","","",""
"03","2025","  15.760.186 ","điện+nước+wf","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí","","","",""
"03","2025","  25.979.668 ","Cp tiếp khách","6. Chi phí khác","Tiếp khách ngoài","Biến phí","","","",""
"03","2025","  43.588.667 ","tặng phẩm khách","2. Chi phí bán hàng","Tặng phẩm khách","Biến phí","","","",""
"03","2025","  128.000.000 ","MKT chạy quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí","","","",""
"03","2025","  28.668.334 ","Cp sửa chữa, bảo trì","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí","","","",""
"03","2025","","Cộng tác viên","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"03","2025","  12.821.541 ","Thưởng gián tiếp","2. Chi phí bán hàng","Thưởng gián tiếp","Biến phí","","","",""
"03","2025","  6.544.000 ","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí","","","",""
"03","2025","  68.237.334 ","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí","","","",""
"03","2025","  13.000.000 ","Hoa hồng giới thiệu","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"03","2025","  -   ","TikTok","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"03","2025","","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"03","2025","  681.943.394 ","% của NV","4. Chi phí nhân sự","Thưởng KPI","Biến phí","","","",""
"03","2025","  5.837.797 ","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí","","","",""
"03","2025","  6.623.000 ","Tiếp khách pK(grab, chi phí khác)","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","",""
"03","2025","  484.209.004 ","Lương","4. Chi phí nhân sự","Lương cố định bộ phận văn phòng","Định phí","","","",""
"03","2025","  128.489.333 ","Chi phí MB","3. Chi phí quản lý doanh nghiệp","Thuê mặt bằng","Định phí","","","",""
"03","2025","  28.938.240 ","Bảo hiểm","4. Chi phí nhân sự","Bảo hiểm","Định phí","","","",""
"03","2025","  25.000.000 ","Thuê bằng bs+bằng y tá Châu","3. Chi phí quản lý doanh nghiệp","Thuê bằng bác sĩ","Định phí","","","",""
"03","2025","  12.000.000 ","chi phí cho quận, phường","5. Chi phí thuế và lãi vay","Phường, quận","Biến phí","","","",""
"03","2025","","thuế","5. Chi phí thuế và lãi vay","Thuế GTGT/ TNCN/ TNDN/ môn bài/ lệ phí..nộp NSNN","Biến phí","","","",""
"03","2025","  31.877.000 ","vật tư keo gắn mc Teennie,mua ốc siết ghế Teennie,đầu CVR","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"03","2025","  28.857.000 ","vit chỉnh nha t2/25,vật liệu Teennie(mắc cài r6, nâng khớp, lò xo..)","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"03","2025","  23.100.000 ","thanh toán tiền thuốc tê,Kin","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"03","2025","  36.750.000 ","Mua mắc cài","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"03","2025","  23.436.000 ","mua kềm Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"03","2025","  3.200.000 ","tủ cực tím","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"03","2025","  100.000.000 ","Quỹ thưởng","6. Chi phí khác","Thưởng tổng cuối năm","Định phí","","","",""
"03","2025","","Dự trù phát sinh","6. Chi phí khác","Quỹ dự phòng","Biến phí","","","",""
"03","2025","  45.629.917 ","Mua sắm tài sản","6. Chi phí khác","Mua sắm tài sản","Biến phí","","","",""
"03","2025","  17.762.667 ","Thưởng nóng+liên hoan","4. Chi phí nhân sự","Thưởng nóng, liên hoan","Biến phí","","","",""
"03","2025","  -   ","Giới thiệu nhân sự","6. Chi phí khác","Giới thiệu nhân sự","Biến phí","","","",""
"03","2025","  1.166.667 ","đào tạo nhân sự","4. Chi phí nhân sự","Đào tạo nhân sự","Biến phí","","","",""
"04","2025","  20.205.669 ","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","",""
"04","2025","  2.610.667 ","bãi xe nv","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí","","","",""
"04","2025","  22.915.694 ","điện+nước+wf","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí","","","",""
"04","2025","  16.074.013 ","Cp tiếp khách","6. Chi phí khác","Tiếp khách ngoài","Biến phí","","","",""
"04","2025","  47.531.000 ","tặng phẩm khách","2. Chi phí bán hàng","Tặng phẩm khách","Biến phí","","","",""
"04","2025","  129.000.000 ","MKT chạy quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí","","","",""
"04","2025","  35.223.200 ","Cp sửa chữa, bảo trì","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí","","","",""
"04","2025","","Cộng tác viên","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"04","2025","  10.291.074 ","Thưởng gián tiếp","2. Chi phí bán hàng","Thưởng gián tiếp","Biến phí","","","",""
"04","2025","  1.283.000 ","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí","","","",""
"04","2025","  18.036.734 ","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí","","","",""
"04","2025","  9.000.000 ","Hoa hồng giới thiệu","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"04","2025","  -   ","TikTok","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"04","2025","  -   ","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"04","2025","  614.242.726 ","% của NV","4. Chi phí nhân sự","Thưởng KPI","Biến phí","","","",""
"04","2025","  6.790.734 ","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí","","","",""
"04","2025","  4.473.000 ","Tiếp khách pK(grab, chi phí khác)","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","",""
"04","2025","  434.557.392 ","Lương","4. Chi phí nhân sự","Lương cố định bộ phận văn phòng","Định phí","","","",""
"04","2025","  129.913.020 ","Chi phí MB","3. Chi phí quản lý doanh nghiệp","Thuê mặt bằng","Định phí","","","",""
"04","2025","  29.013.360 ","Bảo hiểm","4. Chi phí nhân sự","Bảo hiểm","Định phí","","","",""
"04","2025","  25.000.000 ","Thuê bằng bs+bằng y tá Châu","3. Chi phí quản lý doanh nghiệp","Thuê bằng bác sĩ","Định phí","","","",""
"04","2025","  14.166.667 ","chi phí cho quận, phường","5. Chi phí thuế và lãi vay","Phường, quận","Biến phí","","","",""
"04","2025","  -   ","thuế","5. Chi phí thuế và lãi vay","Thuế GTGT/ TNCN/ TNDN/ môn bài/ lệ phí..nộp NSNN","Biến phí","","","",""
"04","2025","  16.370.667 ","nước ngâm dụng cụ ,thuốc giảm đau,composite lỏng,kiềm cắt thạch cao,mẫu hàm tư vấn Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  471.000 ","nước ngâm dụng cụ ,thuốc giảm đau,composite lỏng,kiềm cắt thạch cao,mẫu hàm tư vấn Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  138.000 ","Tiền mũi khoan Endoz Teeniee","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  1.240.000 ","mua mắc cài mẫu(Teennie)","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  21.735.000 ","Nhựa in hàm duy trì loại cũ","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  400.000 ","Thanh Ngọc T2","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  12.600.000 ","dây cung Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  7.619.000 ","vít chỉnh nha T3","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  25.263.000 ","vật liệu","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  11.620.000 ","thun chỉnh nha","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  25.672.000 ","khâu + thun","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  47.500.000 ","Thanh Ngọc T3/25teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  100.000.000 ","Quỹ thưởng","6. Chi phí khác","Thưởng tổng cuối năm","Định phí","","","",""
"04","2025","","Dự trù phát sinh","6. Chi phí khác","Quỹ dự phòng","Biến phí","","","",""
"04","2025","  6.833.001 ","Mua sắm tài sản","6. Chi phí khác","Mua sắm tài sản","Biến phí","","","",""
"04","2025","  3.191.667 ","Thưởng nóng+liên hoan","4. Chi phí nhân sự","Thưởng nóng, liên hoan","Biến phí","","","",""
"04","2025","  1.000.000 ","đào tạo nhân sự","4. Chi phí nhân sự","Đào tạo nhân sự","Biến phí","","","",""
"05","2025","  29.282.003 ","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","",""
"05","2025","  3.170.334 ","bãi xe nv","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí","","","",""
"05","2025","  26.520.745 ","điện+nước+wf","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí","","","",""
"05","2025","  26.807.268 ","Cp tiếp khách","6. Chi phí khác","Tiếp khách ngoài","Biến phí","","","",""
"05","2025","  19.000.000 ","tặng phẩm khách","2. Chi phí bán hàng","Tặng phẩm khách","Biến phí","","","",""
"05","2025","  175.000.000 ","MKT chạy quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí","","","",""
"05","2025","  17.825.000 ","Cp sửa chữa, bảo trì","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí","","","",""
"05","2025","  -   ","Cộng tác viên","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"05","2025","  11.399.934 ","Thưởng gián tiếp","2. Chi phí bán hàng","Thưởng gián tiếp","Biến phí","","","",""
"05","2025","  -   ","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí","","","",""
"05","2025","  83.350.000 ","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí","","","",""
"05","2025","  7.000.000 ","Hoa hồng giới thiệu","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"05","2025","  -   ","TikTok","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"05","2025","  -   ","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"05","2025","  635.936.724 ","% của NV","4. Chi phí nhân sự","Thưởng KPI","Biến phí","","","",""
"05","2025","  4.947.239 ","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí","","","",""
"05","2025","  6.023.000 ","Tiếp khách pK(grab, chi phí khác)","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","",""
"05","2025","  491.458.305 ","Lương","4. Chi phí nhân sự","Lương cố định bộ phận văn phòng","Định phí","","","",""
"05","2025","  142.111.333 ","Chi phí MB","3. Chi phí quản lý doanh nghiệp","Thuê mặt bằng","Định phí","","","",""
"05","2025","  31.069.867 ","Bảo hiểm","4. Chi phí nhân sự","Bảo hiểm","Định phí","","","",""
"05","2025","  25.000.000 ","Thuê bằng bs+bằng y tá Châu","3. Chi phí quản lý doanh nghiệp","Thuê bằng bác sĩ","Định phí","","","",""
"05","2025","  13.666.667 ","chi phí cho quận, phường","5. Chi phí thuế và lãi vay","Phường, quận","Biến phí","","","",""
"05","2025","  36.750.000 ","mua 140b mắc cài","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  17.800.000 ","nhựa ép máng","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  14.270.000 ","khâu của teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  16.533.000 ","vật tư","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  1.215.000 ","tiền tinh chỉnh KH niềng invi","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  72.448.000 ","công nợ Morelli T3+4","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  19.200.000 ","kin","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  13.560.000 ","vật liệu Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  12.600.000 ","thun chuỗi Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  2.910.000 ","khẩu trang","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  5.556.000 ","in ly giấy","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  1.500.000 ","keo gmc","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  150.000 ","nước rửa dụng cụ cho phụ tá","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  8.883.000 ","tube Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  18.343.000 ","vật tư Thanh Ngọc","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  6.360.000 ","Tiền vật tư bond","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  24.800.000 ","khí cụ","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"05","2025","  100.000.000 ","Quỹ thưởng","6. Chi phí khác","Thưởng tổng cuối năm","Định phí","","","",""
"05","2025","  13.484.583 ","Mua sắm tài sản","6. Chi phí khác","Mua sắm tài sản","Biến phí","","","",""
"05","2025","  7.848.333 ","Thưởng nóng+liên hoan","4. Chi phí nhân sự","Thưởng nóng, liên hoan","Biến phí","","","",""
"05","2025","  -   ","Giới thiệu nhân sự","6. Chi phí khác","Giới thiệu nhân sự","Biến phí","","","",""
"05","2025","  9.828.000 ","đào tạo nhân sự","4. Chi phí nhân sự","Đào tạo nhân sự","Biến phí","","","",""
"06","2025","  17.052.668 ","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","",""
"06","2025","  2.613.333 ","bãi xe nv","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí","","","",""
"06","2025","  22.709.164 ","điện+nước+wf","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí","","","",""
"06","2025","  29.054.965 ","Cp tiếp khách","6. Chi phí khác","Tiếp khách ngoài","Biến phí","","","",""
"06","2025","  115.125.000 ","tặng phẩm khách","2. Chi phí bán hàng","Tặng phẩm khách","Biến phí","","","",""
"06","2025","  255.000.000 ","MKT chạy quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí","","","",""
"06","2025","  29.201.669 ","Cp sửa chữa, bảo trì","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí","","","",""
"06","2025","  -   ","Cộng tác viên","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"06","2025","  12.502.918 ","Thưởng gián tiếp","2. Chi phí bán hàng","Thưởng gián tiếp","Biến phí","","","",""
"06","2025","  -   ","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí","","","",""
"06","2025","  46.188.334 ","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí","","","",""
"06","2025","  11.000.000 ","Hoa hồng giới thiệu","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"06","2025","  -   ","TikTok","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"06","2025","  -   ","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"06","2025","  899.188.379 ","% của NV","4. Chi phí nhân sự","Thưởng KPI","Biến phí","","","",""
"06","2025","  6.032.005 ","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí","","","",""
"06","2025","  5.924.466 ","Tiếp khách pK(grab, chi phí khác)","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","",""
