THÁNG,NỘI DUNG CHI,PHÂN LOẠI,SỐ TIỀN,DÒNG TIỀN,TÀI CHÍNH
2024.01,mua 2 bình oxy,Mua sắm tài sản,2.700.000,Chi phí khác,Chi phí khác
2024.01,LAB,Tiền Lab,90.490.000,Biến phí,Chi phí giá vốn
2024.01,Trích thưởng gián tiếp,Quỹ thưởng tổng cuối năm,14.725.000,Định phí,Chi phí khác
2024.01,Trích thưởng nhân viên cuối năm,Quỹ thưởng tổng cuối năm,32.123.725,Định phí,Chi phí khác
2024.01,Trích quỹ tất niên,Quỹ thưởng tổng cuối năm,11.111.111,Định phí,Chi phí khác
2024.02,Tổng hợp,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2024.02,hành chính,Mua đồ hành chính,61.430.835,Biến phí,Chi phí hành chính
2024.02,xét. nghiệm máu,Hành chính MKT,1.431.000,Biến phí,Chi phí bán hàng
2024.02,chụp phim ct rộng,Hành chính MKT,400.000,Biến phí,Chi phí bán hàng
2024.02,Hạt điều tặng khách+tiền nem+tiền ship quà+thịt rừng tặng sếp,Hành chính MKT,6.686.666,Biến phí,Chi phí bán hàng
2024.02,BCĐ,Hành chính MKT,6.500.000,Biến phí,Chi phí bán hàng
2024.02,khách xem phong thuỷ,Hành chính MKT,5.416.667,Biến phí,Chi phí bán hàng
2024.02,phí cà thẻ T2,Phí cà thẻ,2.888.360,Biến phí,Chi phí bán hàng
2024.02,chạy qc,Marketing chạy Quảng cáo,100.000.000,Biến phí,Chi phí bán hàng
2024.02,tiktok,Tiktok,29.000.000,Biến phí,Chi phí bán hàng
2024.02,Số 5 kỳ Đồng,Chi phí Mặt bằng,92.100.000,Định phí,Chi phí QLDN
2024.02,thuê vp,Chi phí Mặt bằng,7.867.333,Định phí,Chi phí QLDN
2024.02,Điện kỳ đồng,Điện + Nước,17.658.693,Định phí,Chi phí hành chính
2024.02,Nước kỳ đồng T1,Điện + Nước,1.361.676,Định phí,Chi phí hành chính
2024.02,BH NV,Bảo hiểm,10.252.800,Định phí,Chi phí QLDN
2024.02,wf,Điện + Nước,715.000,Định phí,Chi phí hành chính
2024.02,thuê bằng bs,Thuê bằng,15.000.000,Định phí,Chi phí QLDN
2024.02,Nước kỳ đồng T2,Điện + Nước,1.462.765,Định phí,Chi phí hành chính
2024.02,"(đô thị 2, TCAP 1, PCA 1, giao thông2)",Mua đồ hành chính,2.000.000,Biến phí,Chi phí hành chính
2024.02,"Cho thuế hàng tháng (t1,2,3)",Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2024.02,lương bs,Lương,96.958.698,Định phí,Chi phí QLDN
2024.02,%bs,KPI,28.518.850,Biến phí,Chi phí bán hàng
2024.02,lương nv,Lương,211.281.072,Định phí,Chi phí QLDN
2024.02,% nv,KPI,17.532.533,Biến phí,Chi phí bán hàng
2024.02,5h thuốc giảm đau,Tiền vật liệu,1.000.000,Biến phí,Chi phí giá vốn
2024.02,kin,Tiền vật liệu,1.920.000,Biến phí,Chi phí giá vốn
2024.02,kéo cắt chỉ impl,Tiền vật liệu,883.000,Biến phí,Chi phí giá vốn
2024.02,Multy ca cô Dậu và cô Oanh,Tiền vật liệu,8.720.000,Biến phí,Chi phí giá vốn
2024.02,Hd xương 1/10,Tiền vật liệu,10.000.000,Biến phí,Chi phí giá vốn
2024.02,Sic,Tiền vật liệu,43.440.000,Biến phí,Chi phí giá vốn
2024.02,xương zimmer,Tiền vật liệu,9.174.000,Biến phí,Chi phí giá vốn
2024.02,Thanh Ngọc T1,Tiền vật liệu,6.706.000,Biến phí,Chi phí giá vốn
2024.02,mua máy in+ổ cứng,Mua sắm tài sản,5.511.667,Chi phí khác,Chi phí khác
2024.02,trả góp máy itero T1,Mua sắm tài sản,46.666.667,Chi phí khác,Chi phí khác
2024.02,mua bộ dao cắt cho tgip,Mua sắm tài sản,4.500.000,Chi phí khác,Chi phí khác
2024.02,ghế nha khoa đợt 5,Mua sắm tài sản,50.000.000,Chi phí khác,Chi phí khác
2024.02,máy in nhựa máng hướng dẫn,Mua sắm tài sản,29.900.000,Chi phí khác,Chi phí khác
2024.02,LAB,Tiền Lab,41.900.000,Biến phí,Chi phí giá vốn
2024.02,Trích quỹ tất niên,Quỹ thưởng tổng cuối năm,11.111.111,Định phí,Chi phí khác
2024.02,Chi Phí đào tạo,Đào tạo,4.000.000,Chi phí khác,Chi phí khác
2024.03,Tổng hợp,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2024.03,lương bs,Lương,151.036.058,Định phí,Chi phí QLDN
2024.03,% bs,KPI,89.731.830,Biến phí,Chi phí bán hàng
2024.03,lương bp khác,Lương,229.187.435,Định phí,Chi phí QLDN
2024.03,% các bp khác,KPI,32.924.320,Biến phí,Chi phí bán hàng
2024.03,hành chính,Mua đồ hành chính,61.752.566,Biến phí,Chi phí hành chính
2024.03,xnm,Hành chính MKT,1.272.000,Biến phí,Chi phí bán hàng
2024.03,MTN,Hành chính MKT,12.628.000,Biến phí,Chi phí bán hàng
2024.03,giấy in phim,Hành chính MKT,1.400.000,Biến phí,Chi phí bán hàng
2024.03,trả góp 57420,Hành chính MKT,4.076.000,Biến phí,Chi phí bán hàng
2024.03,57.464 đ,Hành chính MKT,2.472.000,Biến phí,Chi phí bán hàng
2024.03,57.428 đ,Hành chính MKT,1.696.000,Biến phí,Chi phí bán hàng
2024.03,xnm,Hành chính MKT,159.000,Biến phí,Chi phí bán hàng
2024.03,20 dép khách,Hành chính MKT,266.667,Biến phí,Chi phí bán hàng
2024.03,gương phòng điều trị,Hành chính MKT,337.667,Biến phí,Chi phí bán hàng
2024.03,phí cà thẻ,Phí cà thẻ,3.417.324,Biến phí,Chi phí bán hàng
2024.03,KH xem PT,Hành chính MKT,9.166.667,Biến phí,Chi phí bán hàng
2024.03,QC,Marketing chạy Quảng cáo,296.300.000,Biến phí,Chi phí bán hàng
2024.03,off voice goc khuất implant,Marketing chạy Quảng cáo,200.000,Biến phí,Chi phí bán hàng
2024.03,Seo web,Marketing chạy Quảng cáo,7.000.000,Biến phí,Chi phí bán hàng
2024.03,thẻ acb chạy qc+phí thường niên,Marketing chạy Quảng cáo,400.000,Biến phí,Chi phí bán hàng
2024.03,Đi truyền hình HTV9,Marketing chạy Quảng cáo,20.000.000,Biến phí,Chi phí bán hàng
2024.03,Gia hạn tên miền,Marketing chạy Quảng cáo,739.800,Biến phí,Chi phí bán hàng
2024.03,SSL Bảo Mật Thegioiimplant.,Marketing chạy Quảng cáo,1.342.000,Biến phí,Chi phí bán hàng
2024.03,Booking bài,Marketing chạy Quảng cáo,25.500.000,Biến phí,Chi phí bán hàng
2024.03,Tiktok,Marketing chạy Quảng cáo,23.000.000,Biến phí,Chi phí bán hàng
2024.03,Số 5 kỳ Đồng,Chi phí Mặt bằng,93.075.000,Định phí,Chi phí QLDN
2024.03,thuê vp,Chi phí Mặt bằng,7.603.667,Định phí,Chi phí QLDN
2024.03,Điện kỳ đồng,Điện + Nước,11.278.773,Định phí,Chi phí hành chính
2024.03,Nước kỳ đồng 06/02-08/03,Điện + Nước,1.116.333,Định phí,Chi phí hành chính
2024.03,BH NV,Bảo hiểm,10.252.800,Định phí,Chi phí QLDN
2024.03,wf,Mua đồ hành chính,715.000,Biến phí,Chi phí hành chính
2024.03,thuê bằng bs,Thuê bằng,15.000.000,Định phí,Chi phí QLDN
2024.03,"Cho hàng tháng mục số 1,2",Mua đồ hành chính,1.333.333,Biến phí,Chi phí hành chính
2024.03,tiền bãi xe nv,Tiền thuê xe,2.216.667,Định phí,Chi phí hành chính
2024.03,vật liệu đtt,Tiền vật liệu,4.465.000,Biến phí,Chi phí giá vốn
2024.03,mua mẫu hàm,Tiền vật liệu,470.000,Biến phí,Chi phí giá vốn
2024.03,bao tay rửa dụng cụ,Tiền vật liệu,33.333,Biến phí,Chi phí giá vốn
2024.03,cồn y tế TGIP,Tiền vật liệu,170.000,Biến phí,Chi phí giá vốn
2024.03,kẹp phẫu thuật + cây bóc tách nướu,Tiền vật liệu,4.365.000,Biến phí,Chi phí giá vốn
2024.03,kin,Tiền vật liệu,640.000,Biến phí,Chi phí giá vốn
2024.03,đồ đtt,Tiền vật liệu,2.345.000,Biến phí,Chi phí giá vốn
2024.03,công nợ Việt Đăng,Tiền vật liệu,52.695.000,Biến phí,Chi phí giá vốn
2024.03,công nợ dentium,Tiền vật liệu,112.100.000,Biến phí,Chi phí giá vốn
2024.03,Implant neo,Tiền vật liệu,3.948.500,Biến phí,Chi phí giá vốn
2024.03,Dụng cụ implant,Tiền vật liệu,12.764.926,Biến phí,Chi phí giá vốn
2024.03,kin,Tiền vật liệu,617.000,Biến phí,Chi phí giá vốn
2024.03,vật tư Thanh Ngọc T2/24,Tiền vật liệu,12.655.000,Biến phí,Chi phí giá vốn
2024.03,đồ đtt,Tiền vật liệu,2.520.000,Biến phí,Chi phí giá vốn
2024.03,kin,Tiền vật liệu,691.500,Biến phí,Chi phí giá vốn
2024.03,công nợ Biostem,Tiền vật liệu,14.210.000,Biến phí,Chi phí giá vốn
2024.03,Xương,Tiền vật liệu,15.900.000,Biến phí,Chi phí giá vốn
2024.03,cọc thuê 2xe điện cty,Mua sắm tài sản,20.000.000,Chi phí khác,Chi phí khác
2024.03,trả góp máy itero T2,Mua sắm tài sản,46.666.667,Chi phí khác,Chi phí khác
2024.03,lắp camera bên ngoài,Mua sắm tài sản,1.994.667,Chi phí khác,Chi phí khác
2024.03,ghế nha khoa đợt 6,Mua sắm tài sản,50.000.000,Chi phí khác,Chi phí khác
2024.03,ghế sopha quay pv,Mua sắm tài sản,1.200.000,Chi phí khác,Chi phí khác
2024.03,mua laptop cho telesale,Mua sắm tài sản,5.333.333,Chi phí khác,Chi phí khác
2024.03,bộ đàm tai nghe,Mua sắm tài sản,950.000,Chi phí khác,Chi phí khác
2024.03,mua ghế phòng C Phượng,Mua sắm tài sản,1.000.000,Chi phí khác,Chi phí khác
2024.03,bình hoa khô để bàn tgip,Mua sắm tài sản,200.000,Chi phí khác,Chi phí khác
2024.03,mua bàn cho cskh,Mua sắm tài sản,900.000,Chi phí khác,Chi phí khác
2024.03,mua dù bự che nắng,Mua sắm tài sản,666.667,Chi phí khác,Chi phí khác
2024.03,Lab,Tiền Lab,150.760.000,Biến phí,Chi phí giá vốn
2024.03,Trích thưởng gián tiếp,Quỹ thưởng tổng cuối năm,6.750.000,Định phí,Chi phí khác
2024.03,Trích quỹ tất niên,Quỹ thưởng tổng cuối năm,10.000.000,Định phí,Chi phí khác
2024.03,Khoá học sale,Quỹ thưởng tổng cuối năm,3.666.667,Định phí,Chi phí khác
2024.03,Khoá ạo tạo cho bs Dũng,Đào tạo,40.000.000,Chi phí khác,Chi phí khác
2024.03,Quỹ team buiding,Quỹ thưởng tổng cuối năm,10.000.000,Định phí,Chi phí khác
2024.04,Tổng hợp,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2024.04,lương cứng tháng 4,Lương,377.211.242,Định phí,Chi phí QLDN
2024.04,lương KPI tháng 4,KPI,94.438.413,Biến phí,Chi phí bán hàng
2024.04,Hành chính,Mua đồ hành chính,76.380.353,Biến phí,Chi phí hành chính
2024.04,Chi tiền gth khách 56506 (sale NA+NHI),Marketing chạy Quảng cáo,1.195.000,Biến phí,Chi phí bán hàng
2024.04,tiền checkin,Marketing chạy Quảng cáo,200.000,Biến phí,Chi phí bán hàng
2024.04,xnm,Marketing chạy Quảng cáo,3.520.000,Biến phí,Chi phí bán hàng
2024.04,thuế môn bài,Marketing chạy Quảng cáo,2.020.000,Biến phí,Chi phí bán hàng
2024.04,trả góp 57439,Marketing chạy Quảng cáo,1.638.000,Biến phí,Chi phí bán hàng
2024.04,cáp livestream,Marketing chạy Quảng cáo,212.000,Biến phí,Chi phí bán hàng
2024.04,thuê 1office 1 năm,Marketing chạy Quảng cáo,14.400.000,Biến phí,Chi phí bán hàng
2024.04,tạo tk+nâng cấp zalo OA cho TGIP.,Marketing chạy Quảng cáo,7.408.000,Biến phí,Chi phí bán hàng
2024.04,phí cà thẻ T4,Marketing chạy Quảng cáo,2.895.136,Biến phí,Chi phí bán hàng
2024.04,khách xem PT,Marketing chạy Quảng cáo,5.000.000,Biến phí,Chi phí bán hàng
2024.04,xnm,Marketing chạy Quảng cáo,159.000,Biến phí,Chi phí bán hàng
2024.04,QC,Marketing chạy Quảng cáo,150.000.000,Biến phí,Chi phí bán hàng
2024.04,seo web,Marketing chạy Quảng cáo,7.000.000,Biến phí,Chi phí bán hàng
2024.04,mua VPS cho 3 Website: San - Teennie - Implant,Marketing chạy Quảng cáo,2.314.400,Biến phí,Chi phí bán hàng
2024.04,Tiền i báo,Marketing chạy Quảng cáo,25.628.400,Biến phí,Chi phí bán hàng
2024.04,Tiktok IMPLANT + Quảng cái TGIPL,Marketing chạy Quảng cáo,22.000.000,Biến phí,Chi phí bán hàng
2024.04,Số 5 kỳ ồng,Chi phí Mặt bằng,93.600.000,Định phí,Chi phí QLDN
2024.04,thuê vp,Chi phí Mặt bằng,8.028.333,Định phí,Chi phí QLDN
2024.04,iện kỳ ồng,Điện + Nước,21.505.000,Định phí,Chi phí hành chính
2024.04,Nước kỳ ồng,Điện + Nước,1.613.000,Định phí,Chi phí hành chính
2024.04,BH NV,Bảo hiểm,7.047.680,Định phí,Chi phí QLDN
2024.04,wf,Mua đồ hành chính,715.000,Biến phí,Chi phí hành chính
2024.04,thuê bằng bs,Thuê bằng,15.000.000,Định phí,Chi phí QLDN
2024.04,"Tiền Cho quận, phường hàng tháng",Mua đồ hành chính,2.333.333,Biến phí,Chi phí hành chính
2024.04,tiền bãi xe nv,Chi phí Mặt bằng,2.334.000,Định phí,Chi phí QLDN
2024.04,pccc,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2024.04,cây nạo xương+xương zimmer,Tiền vật liệu,13.920.000,Biến phí,Chi phí giá vốn
2024.04,thc khách,Tiền vật liệu,183.000,Biến phí,Chi phí giá vốn
2024.04,mua ê ể trám thẩm mỹ,Tiền vật liệu,1.033.000,Biến phí,Chi phí giá vốn
2024.04,ồ tt,Tiền vật liệu,3.093.000,Biến phí,Chi phí giá vốn
2024.04,ồ tt,Tiền vật liệu,950.000,Biến phí,Chi phí giá vốn
2024.04,bộ ồ khám KH tgip,Tiền vật liệu,1.240.000,Biến phí,Chi phí giá vốn
2024.04,túi zip ựng mẫu,Tiền vật liệu,82.500,Biến phí,Chi phí giá vốn
2024.04,ồ tt,Tiền vật liệu,1.038.000,Biến phí,Chi phí giá vốn
2024.04,mua abm tạm+abm cọc lều,Tiền vật liệu,5.200.000,Biến phí,Chi phí giá vốn
2024.04,kin,Tiền vật liệu,3.200.000,Biến phí,Chi phí giá vốn
2024.04,thanh toán abm của Osstem,Tiền vật liệu,1.600.000,Biến phí,Chi phí giá vốn
2024.04,công nợ Thanh ngọc T3,Tiền vật liệu,6.821.500,Biến phí,Chi phí giá vốn
2024.04,30 cyliden + 10 healing cap,Tiền vật liệu,27.000.000,Biến phí,Chi phí giá vốn
2024.04,xương zimmer,Tiền vật liệu,8.040.000,Biến phí,Chi phí giá vốn
2024.04,thuốc chống sốc,Tiền vật liệu,1.658.333,Biến phí,Chi phí giá vốn
2024.04,hộp nhựa ựng ồ PT,Tiền vật liệu,183.333,Biến phí,Chi phí giá vốn
2024.04,hd 1000 dentium kì 10/14,Tiền vật liệu,112.100.000,Biến phí,Chi phí giá vốn
2024.04,cọc dù,Mua sắm tài sản,1.000.000,Chi phí khác,Chi phí khác
2024.04,bộ dàm,Mua sắm tài sản,1.700.000,Chi phí khác,Chi phí khác
2024.04,trả góp máy itero,Mua sắm tài sản,46.666.667,Chi phí khác,Chi phí khác
2024.04,Mua dây HDMI kết nối tivi phòng implant,Mua sắm tài sản,140.000,Chi phí khác,Chi phí khác
2024.04,ghế phòng tv (mua thêm),Mua sắm tài sản,1.100.000,Chi phí khác,Chi phí khác
2024.04,ghế nha khoa,Mua sắm tài sản,50.000.000,Chi phí khác,Chi phí khác
2024.04,mẫu hàm tv IP,Mua sắm tài sản,900.000,Chi phí khác,Chi phí khác
2024.04,d.hồ treo tường tgip,Mua sắm tài sản,316.000,Chi phí khác,Chi phí khác
2024.04,bể phong thuỷ trong phòng telesales,Mua sắm tài sản,1.233.333,Chi phí khác,Chi phí khác
2024.04,LAB,Tiền Lab,51.190.000,Biến phí,Chi phí giá vốn
2024.04,Trích thưởng gián tiếp,Quỹ thưởng tổng cuối năm,4.650.000,Định phí,Chi phí khác
2024.04,Trích quỹ tất niên,Quỹ thưởng tổng cuối năm,10.000.000,Định phí,Chi phí khác
2024.04,Quỹ team buiding,Quỹ thưởng tổng cuối năm,10.000.000,Định phí,Chi phí khác
2023.12,Tổng hợp,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2023.12,lương cứng tháng 12/23,Lương,213.479.798,Định phí,Chi phí QLDN
2023.12,lương KPI tháng 12/23,KPI,93.000.896,Biến phí,Chi phí bán hàng
2023.12,ánh chìa khóa dự phòng,Mua đồ hành chính,60.000,Biến phí,Chi phí hành chính
2023.12,thùng rác,Mua đồ hành chính,2.090.000,Biến phí,Chi phí hành chính
2023.12,sửa ống hút ghế nha,Mua đồ hành chính,150.000,Biến phí,Chi phí hành chính
2023.12,khung treo hingf bs Dũng,Mua đồ hành chính,790.000,Biến phí,Chi phí hành chính
2023.12,"in thiệp cảm ơn, name card voucher",Mua đồ hành chính,500.000,Biến phí,Chi phí hành chính
2023.12,name card bs Dũng,Mua đồ hành chính,750.000,Biến phí,Chi phí hành chính
2023.12,ghế bs và pt,Mua đồ hành chính,2.950.000,Biến phí,Chi phí hành chính
2023.12,giấy lau tay,Mua đồ hành chính,850.000,Biến phí,Chi phí hành chính
2023.12,tủ phòng vô trùng,Mua đồ hành chính,1.350.000,Biến phí,Chi phí hành chính
2023.12,thảm lót cầu thang,Mua đồ hành chính,1.643.333,Biến phí,Chi phí hành chính
2023.12,hotline tgip,Mua đồ hành chính,500.000,Biến phí,Chi phí hành chính
2023.12,phí xét nghiệm kh Thanh Nga,Mua đồ hành chính,159.000,Biến phí,Chi phí hành chính
2023.12,TN,Mua đồ hành chính,3.750.000,Biến phí,Chi phí hành chính
2023.12,"in thư cảm ơn, cskh",Mua đồ hành chính,648.333,Biến phí,Chi phí hành chính
2023.12,mua 2 bộ àm + tháy pin 1 bộ,Mua đồ hành chính,1.950.000,Biến phí,Chi phí hành chính
2023.12,3 tủ inox tgip,Mua đồ hành chính,2.620.000,Biến phí,Chi phí hành chính
2023.12,thuê ồ imp thẩm ịnh,Mua đồ hành chính,5.000.000,Biến phí,Chi phí hành chính
2023.12,ồ bít ống phòng ipl,Mua đồ hành chính,76.000,Biến phí,Chi phí hành chính
2023.12,mua trái cây oàn thẩm ịnh,Mua đồ hành chính,390.000,Biến phí,Chi phí hành chính
2023.12,nhờ cô Châu hỗ trợ oàn thẩm ịnh,Mua đồ hành chính,500.000,Biến phí,Chi phí hành chính
2023.12,tháo+ráp bàn imp,Mua đồ hành chính,200.000,Biến phí,Chi phí hành chính
2023.12,3 kệ dép phòng imp,Mua đồ hành chính,420.000,Biến phí,Chi phí hành chính
2023.12,xông tinh dầu tgip,Mua đồ hành chính,488.000,Biến phí,Chi phí hành chính
2023.12,16 TN,Mua đồ hành chính,10.015.000,Biến phí,Chi phí hành chính
2023.12,chi cô Sáu Thia,Mua đồ hành chính,20.000.000,Biến phí,Chi phí hành chính
2023.12,phí trả góp 56809,Mua đồ hành chính,1.900.000,Biến phí,Chi phí hành chính
2023.12,quà tặng sếp,Mua đồ hành chính,1.783.333,Biến phí,Chi phí hành chính
2023.12,xe quận,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2023.12,TIKTOK ADS THEGIOIIMPLANT,Mua đồ hành chính,5.000.000,Biến phí,Chi phí hành chính
2023.12,phí trả góp 56833,Mua đồ hành chính,4.193.000,Biến phí,Chi phí hành chính
2023.12,phí trả góp 56880,Mua đồ hành chính,5.976.000,Biến phí,Chi phí hành chính
2023.12,khăn phẫu thuật,Mua đồ hành chính,263.000,Biến phí,Chi phí hành chính
2023.12,Bao óng gói dụng cụ,Mua đồ hành chính,2.400.000,Biến phí,Chi phí hành chính
2023.12,Chi phí đào tạo telesale,Đào tạo,1.333.333,Chi phí khác,Chi phí khác
2023.12,mũi ốt nướu,Mua đồ hành chính,1.100.000,Biến phí,Chi phí hành chính
2023.12,in bảng giá tgip,Mua đồ hành chính,182.000,Biến phí,Chi phí hành chính
2023.12,mực in,Mua đồ hành chính,245.000,Biến phí,Chi phí hành chính
2023.12,ồng phục bs thu,Mua đồ hành chính,1.330.000,Biến phí,Chi phí hành chính
2023.12,tiền bãi xe nv T12,Mua đồ hành chính,2.280.000,Biến phí,Chi phí hành chính
2023.12,cho phường 9,Mua đồ hành chính,1.666.667,Biến phí,Chi phí hành chính
2023.12,phí cà thẻ T12,Mua đồ hành chính,9.505.728,Biến phí,Chi phí hành chính
2023.12,tiền chè hoa trái cây cúng t12/23,Mua đồ hành chính,944.667,Biến phí,Chi phí hành chính
2023.12,"tiền suôi, nc bình, tinh dầu, ồ tạp vụ T12",Mua đồ hành chính,8.001.333,Biến phí,Chi phí hành chính
2023.12,Seeding page,Mua đồ hành chính,1.500.000,Biến phí,Chi phí hành chính
2023.12,khách xem pt,Mua đồ hành chính,1.833.333,Biến phí,Chi phí hành chính
